Número PC,Fecha,Partida,Placa,Procesador,RAM,SSD,Ubicación,Monitor
123456789,2025-02-07 10:09:41.149822,11,1,1,1,1,1,1
hola,2025-02-07 10:15:33.100524,asda,boSDBV,J<SBDOJVs55,kj<bocbjbv sd,klj sdljv ,kh sdjl vsd,k dav
333333333,2025-02-07 10:39:03.218402,123,456,789,741,852,963,159
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
89798,2025-02-07 15:04:22.179521,98,98,98,98,98,8,98
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
3202,2025-02-07 15:13:55.097613,0216510,65401,85401,05321,3501,35021,3210
084512,920506213,06132,2405612,45012,2465021,2012,50120,0512
084512,920506213,06132,2405612,45012,2465021,2012,50120,0512
084512,920506213,06132,2405612,45012,2465021,2012,50120,0512
084512,920506213,06132,2405612,45012,2465021,2012,50120,0512
2605,653210,65230,6503210,60312,0412,6031,60321,605
